Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e2e,Chrome 119.0.0.0,,,13-12-2023 14:04:05,13-12-2023 14:05:04,58.411s,PASSED
,,,,,,,
Test Cases/e2e,Chrome 119.0.0.0,,,13-12-2023 14:04:06,13-12-2023 14:05:04,58.024s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,13-12-2023 14:04:07,13-12-2023 14:04:11,3.903s,PASSED
"navigateToUrl(""https://stage.mobipaid.com/en/register"")",Chrome 119.0.0.0,,,13-12-2023 14:04:11,13-12-2023 14:04:22,11.230s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,13-12-2023 14:04:22,13-12-2023 14:04:22,0.341s,PASSED
"setText(findTestObject(""Object Repository/input_signatory_first_name""), ""test"")",Chrome 119.0.0.0,input fname,,13-12-2023 14:04:22,13-12-2023 14:04:23,1.334s,PASSED
"setText(findTestObject(""Object Repository/input_signatory_last_name""), ""test1"")",Chrome 119.0.0.0,input lname,,13-12-2023 14:04:23,13-12-2023 14:04:25,1.168s,PASSED
"setText(findTestObject(""Object Repository/input_email""), ""hello1@gamil.com"")",Chrome 119.0.0.0,input email,,13-12-2023 14:04:25,13-12-2023 14:04:26,0.907s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_password""), ""jWModsK9zNSGtzParKYuZQ=="")",Chrome 119.0.0.0,input password,,13-12-2023 14:04:26,13-12-2023 14:04:26,0.578s,PASSED
"setText(findTestObject(""Object Repository/input_name""), ""dasda"")",Chrome 119.0.0.0,input company name,,13-12-2023 14:04:26,13-12-2023 14:04:27,0.710s,PASSED
"setText(findTestObject(""Object Repository/input_form-control btn-log border-grey int__5c974a""), ""347987978"")",Chrome 119.0.0.0,input random phone,,13-12-2023 14:04:27,13-12-2023 14:04:28,0.770s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Your country                        _da403c""), ""12"", true)",Chrome 119.0.0.0,input country,,13-12-2023 14:04:28,13-12-2023 14:04:29,1.398s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Your state  province (optional)nullsland""), ""Ísland"", true)",Chrome 119.0.0.0,input state,,13-12-2023 14:04:29,13-12-2023 14:04:30,1.152s,PASSED
"click(findTestObject(""Object Repository/input_psa-checkbox""))",Chrome 119.0.0.0,,,13-12-2023 14:04:30,13-12-2023 14:04:31,0.605s,PASSED
"setText(findTestObject(""Object Repository/input_signatory_first_name""), """")",Chrome 119.0.0.0,empty fname,,13-12-2023 14:04:31,13-12-2023 14:04:31,0.696s,PASSED
"click(findTestObject(""Object Repository/button_register""))",Chrome 119.0.0.0,,,13-12-2023 14:04:31,13-12-2023 14:04:32,0.418s,PASSED
"setText(findTestObject(""Object Repository/input_signatory_first_name""), ""test"")",Chrome 119.0.0.0,input fname,,13-12-2023 14:04:32,13-12-2023 14:04:33,0.762s,PASSED
"click(findTestObject(""Object Repository/div_col-md-6 register-row""))",Chrome 119.0.0.0,,,13-12-2023 14:04:33,13-12-2023 14:04:33,0.460s,PASSED
"setText(findTestObject(""Object Repository/input_signatory_last_name""), """")",Chrome 119.0.0.0,empty fname,,13-12-2023 14:04:33,13-12-2023 14:04:34,0.733s,PASSED
"click(findTestObject(""Object Repository/button_register""))",Chrome 119.0.0.0,,,13-12-2023 14:04:34,13-12-2023 14:04:34,0.470s,PASSED
"setText(findTestObject(""Object Repository/input_signatory_last_name""), ""test1"")",Chrome 119.0.0.0,,,13-12-2023 14:04:34,13-12-2023 14:04:35,0.761s,PASSED
"setText(findTestObject(""Object Repository/input_email""), """")",Chrome 119.0.0.0,empty email,,13-12-2023 14:04:35,13-12-2023 14:04:36,0.726s,PASSED
"click(findTestObject(""Object Repository/button_register""))",Chrome 119.0.0.0,,,13-12-2023 14:04:36,13-12-2023 14:04:36,0.593s,PASSED
"setText(findTestObject(""Object Repository/input_email""), ""hello1@gamil1.com"")",Chrome 119.0.0.0,,,13-12-2023 14:04:36,13-12-2023 14:04:37,0.961s,PASSED
